FIPS,County,DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate
22047.000,44176,13030,23661,44552.500,-5.450,13.300,10.150,14.800,7.100
22049.000,88310,35304,62247,39118.750,-4.225,12.425,10.525,22.175,6.400
22051.000,88340,111625,158414,52803.500,0.150,13.700,8.850,21.500,6.025
22053.000,44166,7825,30582,43091.000,-2.600,13.750,10.550,15.050,6.800
22055.000,44212,13011,36679,45304.000,-3.400,13.600,9.300,14.300,7.650
22057.000,66293,31880,56089,55371.333,-6.933,13.500,8.433,18.767,6.367
22059.000,22127,1643,4605,37600.000,-6.900,12.000,12.500,14.400,7.700
22061.000,66245,34213,60445,39949.667,-2.300,13.167,9.767,25.133,6.267
22063.000,44200,29527,41502,48395.500,1.150,14.200,9.150,17.850,6.750
22065.000,44190,4486,7466,30238.500,-15.550,12.350,11.500,12.000,8.600
22067.000,88390,30983,59940,37537.250,-5.575,12.850,11.350,16.250,7.975
22069.000,88392,13389,29432,37477.500,-7.475,14.275,11.050,15.725,6.900
22071.000,22087,4957,10232,39450.000,1.400,14.300,8.000,12.300,6.100
22073.000,66267,30268,55970,38170.333,-2.967,13.133,11.000,17.467,6.667
22075.000,22087,4957,10232,39450.000,1.400,14.300,8.000,12.300,6.100
22077.000,66301,15277,27051,48521.333,-4.333,11.300,9.867,17.267,6.467
22079.000,22115,2665,13471,47172.000,-11.200,19.600,7.700,16.800,7.200
22081.000,22081,1938,2391,33044.000,-9.500,12.000,13.000,13.900,6.000
22083.000,44206,3872,10256,34729.000,-9.850,12.200,11.650,13.050,9.650
22085.000,70466,3643,16432,44280.000,-4.750,14.450,9.300,12.850,7.550
22087.000,50132,8277,23952,42409.500,4.900,12.300,9.500,17.750,6.100
22089.000,66289,38085,58122,53844.333,0.500,13.700,8.633,19.967,6.267
22091.000,22105,16869,33933,44625.000,8.500,15.300,9.000,19.400,6.700
22093.000,22095,12658,7569,52166.000,-6.200,13.100,9.300,16.300,6.800
22095.000,44200,29527,41502,48395.500,1.150,14.200,9.150,17.850,6.750
22097.000,22099,8266,16872,46560.000,-5.600,13.900,9.200,14.400,7.700
22099.000,22099,8266,16872,46560.000,-5.600,13.900,9.200,14.400,7.700
22101.000,22109,10664,31900,49206.000,-13.800,14.700,8.400,15.800,7.000
22103.000,100376,28798,75735,41972.000,4.950,12.625,11.300,17.675,6.450
22105.000,44222,22559,46485,39432.500,4.400,14.500,11.050,15.550,6.850
22107.000,50170,4666,1669,26694.000,-26.100,13.050,12.050,12.750,12.300
22109.000,22109,10664,31900,49206.000,-13.800,14.700,8.400,15.800,7.000
22111.000,22111,2691,7972,42166.000,1.300,12.700,11.900,14.600,6.500
22113.000,22113,4745,19807,44048.000,-1.200,13.300,9.400,14.200,7.600
22115.000,70466,3643,16432,44280.000,-4.750,14.450,9.300,12.850,7.550
22117.000,78373,11084,31456,36636.667,0.567,12.133,12.867,13.833,6.900
22121.000,22125,2247,3390,56459.000,-2.100,7.300,9.300,22.200,5.200
22123.000,22123,715,3970,35638.000,-13.400,12.000,12.400,12.600,11.900
22125.000,50282,5073,4695,41424.500,-2.250,8.850,12.150,18.000,7.650
22127.000,22127,1643,4605,37600.000,-6.900,12.000,12.500,14.400,7.700
23001.000,46028,113614,67001,62373.000,3.900,9.450,10.150,41.100,2.950
23003.000,92094,51380,71039,40698.750,-0.950,9.150,12.450,20.675,5.100
23005.000,46028,113614,67001,62373.000,3.900,9.450,10.150,41.100,2.950
23007.000,23025,9092,14998,42134.000,-0.100,9.100,12.300,16.500,5.600
23009.000,69075,49632,61016,44403.000,0.867,9.233,11.100,25.833,4.667
23011.000,69075,30213,34680,49942.333,3.733,9.067,11.000,27.200,4.267
23013.000,23027,10442,10378,48422.000,8.700,8.800,9.600,29.600,4.200
23015.000,46050,21121,19682,53846.500,5.650,9.050,10.350,32.550,3.600
23017.000,33003,12987,14635,56836.000,6.000,7.100,10.900,33.600,3.000
23019.000,115121,61822,81417,42243.400,0.980,9.080,11.880,22.460,4.920
23021.000,46046,12190,20401,39004.000,1.150,8.850,13.050,17.400,5.300
23023.000,23023,10679,9304,59271.000,2.600,9.300,11.100,35.500,3.000
23025.000,46052,19534,25376,45278.000,4.300,8.950,10.950,23.050,4.900
23027.000,23027,10442,10378,48422.000,8.700,8.800,9.600,29.600,4.200
23029.000,23029,6358,9037,37711.000,-2.700,9.300,13.200,20.800,5.500
23031.000,66020,47871,43699,63151.500,7.250,8.300,9.800,34.600,2.750
24001.000,120097,7433,35362,50372.333,4.100,9.233,12.500,17.200,5.300
24003.000,144607,895686,346924,77747.000,-1.000,11.817,8.867,39.833,4.633
24005.000,144609,534102,332979,77604.833,-0.717,11.017,9.467,39.467,4.567
24009.000,96106,381171,88280,74291.750,-0.525,12.500,8.200,28.475,4.825
24011.000,48030,9442,16937,47053.500,1.200,11.850,11.500,18.850,5.500
24013.000,114062,184090,188106,89525.250,2.775,10.725,7.950,40.000,3.725
